楼盘,区域,地址,朝向,房型,面积,层高,建造年份,单价,总价,优势1,优势2,优势3
阳光100阿尔勒二期,巴南,大山村,东南,4室2厅2卫,114㎡,共3层,2018年建造,14913元/㎡,170万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,东南,3室2厅2卫,142.42㎡,共2层,2018年建造,13341元/㎡,190万,近地铁,车位充足,满二年
阳光100阿尔勒一期(叠拼),巴南,大山村,东南,4室2厅2卫,131㎡,共3层,2018年建造,11069元/㎡,145万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,东南,3室2厅2卫,150㎡,共2层,2017年建造,14000元/㎡,210万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,东南,3室2厅2卫,100.37㎡,中层(共32层),2017年建造,12504元/㎡,125.5万,近地铁,,
中交锦悦御蓝湾,巴南,大山村,东南,3室2厅2卫,100.37㎡,低层(共32层),2017年建造,10561元/㎡,106万,近地铁,,
合谊理想城(一期),巴南,大山村,东南,3室2厅2卫,116.05㎡,低层(共7层),2021年建造,13615元/㎡,158万,车位充足,,满二年
合谊理想城(一期),巴南,大山村,东西,4室2厅2卫,139.22㎡,中层(共16层),2021年建造,10746元/㎡,149.6万,车位充足,,满二年
中交锦悦御蓝湾,巴南,大山村,南,4室2厅2卫,123.47㎡,高层(共32层),2018年建造,8748元/㎡,108万,有电梯,近地铁,
中交锦悦御蓝湾,巴南,大山村,南,4室2厅2卫,111.94㎡,低层(共32层),2017年建造,9005元/㎡,100.8万,满二年,近地铁,
远洋高尔夫国际社区果岭洋楼,巴南,大山村,南,2室2厅2卫,66㎡,中层(共18层),2016年建造,11667元/㎡,77万,近地铁,绿化率高,满五年
远洋高尔夫国际社区果岭洋楼,巴南,大山村,南,3室2厅2卫,81.03㎡,中层(共18层),2016年建造,11107元/㎡,90万,近地铁,绿化率高,满二年
中交锦悦御蓝湾,巴南,大山村,南,3室2厅2卫,88.56㎡,低层(共32层),2018年建造,9824元/㎡,87万,近地铁,户型方正,满二年
中交锦悦御蓝湾,巴南,大山村,南,3室2厅2卫,88.68㎡,低层(共32层),2020年建造,8898元/㎡,78.9万,近地铁,次新房,满二年
中交锦悦御蓝湾,巴南,大山村,南,3室2厅2卫,100.35㎡,高层(共32层),2019年建造,10763元/㎡,108万,近地铁,次新房,满二年
中交锦悦御蓝湾,巴南,大山村,南,3室2厅2卫,100.35㎡,高层(共30层),2020年建造,11161元/㎡,112万,近地铁,次新房,满二年
中交锦悦御蓝湾,巴南,大山村,南,3室2厅2卫,88.58㎡,低层(共32层),2019年建造,9258元/㎡,82万,近地铁,次新房,满二年
中交锦悦御蓝湾,巴南,大山村,南,4室2厅2卫,123.62㎡,中层(共32层),2020年建造,8494元/㎡,105万,近地铁,次新房,满二年
阳光100阿尔勒二期,巴南,大山村,南,3室2厅2卫,96㎡,中层(共6层),2018年建造,10678元/㎡,102.5万,近地铁,车位充足,满五年
阳光100阿尔勒二期,巴南,大山村,南,3室2厅2卫,96㎡,共5层,2018年建造,13125元/㎡,126万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,南,4室2厅2卫,137.55㎡,共2层,2018年建造,10542元/㎡,145万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,南,3室2厅2卫,110.46㎡,共3层,2018年建造,12086元/㎡,133.5万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,南,3室2厅2卫,137.31㎡,共2层,2018年建造,13838元/㎡,190万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,南,3室2厅2卫,141.78㎡,共2层,2018年建造,13402元/㎡,190万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,南,4室2厅2卫,78.48㎡,共3层,2018年建造,16056元/㎡,126万,近地铁,车位充足,满二年
中交锦悦御蓝湾,巴南,大山村,南,4室2厅2卫,111.96㎡,中层(共32层),2017年建造,9111元/㎡,102万,近地铁,,满五年
中交锦悦御蓝湾,巴南,大山村,南,4室2厅2卫,123.45㎡,中层(共32层),2017年建造,8789元/㎡,108.5万,近地铁,,满五年
中交锦悦御蓝湾,巴南,大山村,南,3室2厅2卫,88.56㎡,中层(共32层),2017年建造,9599元/㎡,85万,近地铁,,满五年
中交锦悦御蓝湾,巴南,大山村,南,4室2厅2卫,112.09㎡,高层(共32层),2017年建造,11420元/㎡,128万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南,3室2厅2卫,88㎡,高层(共33层),2000年建造,10114元/㎡,89万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南,4室2厅2卫,124.14㎡,高层(共32层),2017年建造,10473元/㎡,130万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南,3室2厅2卫,150㎡,共2层,2017年建造,13200元/㎡,198万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南,4室2厅2卫,124㎡,高层(共32层),2017年建造,8226元/㎡,102万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南,4室2厅2卫,124.15㎡,低层(共32层),2017年建造,8700元/㎡,108万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南,3室2厅2卫,111㎡,高层(共34层),2018年建造,9190元/㎡,102万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南,4室2厅2卫,124㎡,低层(共33层),2000年建造,8710元/㎡,108万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南,4室2厅2卫,124.14㎡,低层(共32层),2017年建造,8443元/㎡,104.8万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南,4室2厅2卫,124.15㎡,中层(共32层),2017年建造,8380元/㎡,104万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南,3室2厅2卫,88.56㎡,低层(共30层),2017年建造,9599元/㎡,85万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南,4室2厅2卫,123㎡,低层(共32层),2017年建造,8253元/㎡,101.5万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南,3室2厅2卫,88.56㎡,中层(共32层),2017年建造,9011元/㎡,79.8万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南,3室2厅2卫,88.58㎡,低层(共32层),2017年建造,11504元/㎡,101.9万,近地铁,,
中交锦悦御蓝湾,巴南,大山村,南,3室2厅2卫,100.6㎡,低层(共32层),2017年建造,10736元/㎡,108万,近地铁,,
中交锦悦御蓝湾,巴南,大山村,南,4室2厅2卫,111.94㎡,中层(共32层),2017年建造,11614元/㎡,130万,近地铁,,
中交锦悦御蓝湾,巴南,大山村,南,4室2厅2卫,123.47㎡,中层(共32层),2017年建造,11501元/㎡,142万,近地铁,,
中交锦悦御蓝湾,巴南,大山村,南,4室2厅2卫,124.14㎡,低层(共32层),2017年建造,11198元/㎡,139万,近地铁,,
中交锦悦御蓝湾,巴南,大山村,南,2室2厅2卫,125.66㎡,共2层,2017年建造,15121元/㎡,190万,近地铁,,
中交锦悦御蓝湾,巴南,大山村,南,4室2厅2卫,111.79㎡,中层(共32层),2017年建造,9572元/㎡,107万,近地铁,,
中交锦悦御蓝湾,巴南,大山村,南,4室2厅2卫,124.15㎡,中层(共32层),2017年建造,8861元/㎡,110万,近地铁,,
中交锦悦御蓝湾,巴南,大山村,南,4室2厅2卫,124.3㎡,高层(共32层),2017年建造,9333元/㎡,116万,近地铁,,
浣溪锦云,巴南,大山村,南,3室2厅2卫,99㎡,中层(共16层),2020年建造,12627元/㎡,125万,车位充足,,满二年
合谊理想城(一期),巴南,大山村,南,3室2厅2卫,106㎡,高层(共17层),2021年建造,12736元/㎡,135万,车位充足,,满二年
浣溪锦云,巴南,大山村,南,3室2厅2卫,99.5㎡,高层(共8层),2020年建造,10855元/㎡,108万,车位充足,,满二年
浣溪锦云,巴南,大山村,南,3室2厅2卫,98.89㎡,高层(共8层),2020年建造,10315元/㎡,102万,车位充足,,
合谊理想城(一期),巴南,大山村,南,3室2厅2卫,106㎡,低层(共17层),2022年建造,10378元/㎡,110万,车位充足,,
合谊理想城(一期),巴南,大山村,南,4室2厅2卫,126.08㎡,低层(共17层),2022年建造,10311元/㎡,130万,车位充足,,
合谊理想城(一期),巴南,大山村,南,4室2厅2卫,136.63㎡,中层(共17层),2022年建造,10613元/㎡,145万,车位充足,,
浣溪锦云,巴南,大山村,南,3室2厅2卫,100.02㎡,高层(共24层),2020年建造,10378元/㎡,103.8万,车位充足,,
远洋高尔夫国际社区原香,巴南,大山村,南北,4室2厅2卫,143.12㎡,共3层,2015年建造,16700元/㎡,239万,近地铁,绿化率高,满五年
远洋高尔夫国际社区果岭洋楼,巴南,大山村,南北,3室2厅2卫,95㎡,低层(共18层),2015年建造,10527元/㎡,100万,近地铁,绿化率高,满五年
远洋高尔夫国际社区果岭洋楼,巴南,大山村,南北,4室2厅2卫,224.3㎡,共4层,2015年建造,9274元/㎡,208万,近地铁,绿化率高,满二年
远洋高尔夫国际社区果岭洋楼,巴南,大山村,南北,2室2厅2卫,88㎡,中层(共9层),2019年建造,11250元/㎡,99万,近地铁,绿化率高,满二年
远洋高尔夫国际社区果岭洋楼,巴南,大山村,南北,3室2厅2卫,146.11㎡,共2层,2016年建造,11088元/㎡,162万,近地铁,绿化率高,满二年
远洋高尔夫国际社区原香,巴南,大山村,南北,3室2厅2卫,120.13㎡,共2层,2019年建造,13319元/㎡,160万,近地铁,绿化率高,满二年
中交锦悦御蓝湾,巴南,大山村,南北,4室2厅2卫,111.94㎡,高层(共32层),2019年建造,9113元/㎡,102万,近地铁,次新房,满五年
中交锦悦御蓝湾,巴南,大山村,南北,4室2厅2卫,123.45㎡,中层(共32层),2019年建造,8344元/㎡,103万,近地铁,次新房,满二年
中交锦悦御蓝湾,巴南,大山村,南北,3室2厅2卫,88.56㎡,高层(共33层),2021年建造,10163元/㎡,90万,近地铁,次新房,满二年
中交锦悦御蓝湾,巴南,大山村,南北,4室2厅2卫,125.66㎡,共5层,2020年建造,12733元/㎡,160万,近地铁,次新房,满二年
中交锦悦御蓝湾,巴南,大山村,南北,4室2厅2卫,145㎡,共2层,2020年建造,12752元/㎡,184.9万,近地铁,次新房,满二年
中交锦悦御蓝湾,巴南,大山村,南北,4室2厅2卫,157㎡,共4层,2020年建造,14332元/㎡,225万,近地铁,次新房,满二年
中交锦悦御蓝湾,巴南,大山村,南北,4室2厅2卫,112.09㎡,低层(共32层),2020年建造,9439元/㎡,105.8万,近地铁,次新房,满二年
中交锦悦御蓝湾,巴南,大山村,南北,4室2厅2卫,124.14㎡,中层(共32层),2020年建造,8459元/㎡,105万,近地铁,次新房,满二年
中交锦悦御蓝湾,巴南,大山村,南北,3室2厅2卫,88.68㎡,中层(共32层),2019年建造,9924元/㎡,88万,近地铁,次新房,满二年
中交锦悦御蓝湾,巴南,大山村,南北,4室2厅2卫,124.14㎡,中层(共32层),2019年建造,8620元/㎡,107万,近地铁,次新房,满二年
中交锦悦御蓝湾,巴南,大山村,南北,3室2厅2卫,88.58㎡,低层(共32层),2019年建造,8908元/㎡,78.9万,近地铁,次新房,满二年
中交锦悦御蓝湾,巴南,大山村,南北,4室2厅2卫,124.14㎡,高层(共32层),2019年建造,8700元/㎡,108万,近地铁,次新房,满二年
中交锦悦御蓝湾,巴南,大山村,南北,4室2厅2卫,124.15㎡,低层(共32层),2019年建造,8216元/㎡,102万,近地铁,次新房,满二年
中交锦悦御蓝湾,巴南,大山村,南北,4室2厅2卫,123.47㎡,高层(共32层),2019年建造,8667元/㎡,107万,近地铁,次新房,满二年
中交锦悦御蓝湾,巴南,大山村,南北,4室2厅2卫,124.14㎡,高层(共32层),2020年建造,8539元/㎡,106万,近地铁,次新房,满二年
中交锦悦御蓝湾,巴南,大山村,南北,4室2厅2卫,123.45㎡,高层(共32层),2020年建造,8749元/㎡,108万,近地铁,次新房,满二年
中交锦悦御蓝湾,巴南,大山村,南北,4室2厅2卫,123.45㎡,高层(共32层),2020年建造,8911元/㎡,110万,近地铁,次新房,满二年
阳光100阿尔勒一期(联排),巴南,大山村,南北,5室2厅2卫,172㎡,共4层,2016年建造,10814元/㎡,186万,近地铁,次新房,
阳光100阿尔勒二期,巴南,大山村,南北,3室2厅2卫,101.17㎡,低层(共8层),2018年建造,12850元/㎡,130万,近地铁,车位充足,有电梯
阳光100阿尔勒二期,巴南,大山村,南北,4室2厅2卫,117.91㎡,共3层,2021年建造,11874元/㎡,140万,近地铁,车位充足,有电梯
阳光100阿尔勒二期,巴南,大山村,南北,4室2厅2卫,125㎡,共2层,2019年建造,11200元/㎡,140万,近地铁,车位充足,有电梯
阳光100阿尔勒二期,巴南,大山村,南北,4室2厅2卫,137.53㎡,共2层,2019年建造,13089元/㎡,180万,近地铁,车位充足,有电梯
阳光100阿尔勒二期,巴南,大山村,南北,3室2厅2卫,114.1㎡,低层(共8层),2019年建造,11569元/㎡,132万,近地铁,车位充足,满二年
佳兆业广场(商住楼),巴南,大山村,南北,2室1厅1卫,31.95㎡,高层(共20层),2016年建造,8357元/㎡,26.7万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,南北,3室2厅2卫,114.1㎡,低层(共8层),2019年建造,11569元/㎡,132万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,南北,3室2厅2卫,95.63㎡,高层(共6层),2019年建造,10980元/㎡,105万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,南北,3室2厅2卫,98.25㎡,中层(共8层),2019年建造,12723元/㎡,125万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,南北,3室2厅2卫,98.25㎡,高层(共8层),2019年建造,10586元/㎡,104万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,南北,3室2厅2卫,95.63㎡,中层(共6层),2020年建造,10980元/㎡,105万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,南北,4室2厅2卫,110.41㎡,共5层,2018年建造,10316元/㎡,113.9万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,南北,4室2厅2卫,112.98㎡,共3层,2018年建造,11684元/㎡,132万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,南北,4室2厅2卫,124.33㎡,共2层,2018年建造,10617元/㎡,132万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,南北,3室2厅2卫,95.63㎡,高层(共6层),2018年建造,10353元/㎡,99万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,南北,3室2厅2卫,124㎡,共2层,2018年建造,10484元/㎡,130万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,南北,2室2厅2卫,124.89㎡,共2层,2019年建造,11771元/㎡,147万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,南北,3室2厅2卫,93.79㎡,高层(共27层),2023年建造,10183元/㎡,95.5万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,南北,3室2厅2卫,141.78㎡,共3层,2018年建造,11003元/㎡,156万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,南北,3室2厅2卫,124㎡,共2层,2018年建造,13710元/㎡,170万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,南北,4室2厅2卫,137.31㎡,共3层,2018年建造,12236元/㎡,168万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,南北,3室2厅2卫,141.78㎡,共3层,2018年建造,11003元/㎡,156万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,南北,2室2厅2卫,113.47㎡,共3层,2019年建造,12515元/㎡,142万,近地铁,车位充足,
中交锦悦御蓝湾,巴南,大山村,南北,3室2厅2卫,88.56㎡,高层(共32层),2017年建造,9937元/㎡,88万,近地铁,,有电梯
阳光100阿尔勒一期(叠拼),巴南,大山村,南北,4室2厅2卫,121㎡,共3层,2014年建造,10992元/㎡,133万,近地铁,,满五年
中交锦悦御蓝湾,巴南,大山村,南北,3室2厅2卫,88.58㎡,低层(共28层),2016年建造,11741元/㎡,104万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南北,3室2厅2卫,100.22㎡,高层(共32层),2018年建造,11675元/㎡,117万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南北,3室2厅2卫,100.72㎡,中层(共32层),2017年建造,12411元/㎡,125万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南北,3室2厅2卫,88.45㎡,低层(共32层),2018年建造,10402元/㎡,92万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南北,3室2厅2卫,88.56㎡,中层(共32层),2018年建造,10050元/㎡,89万,近地铁,,满二年
阳光100阿尔勒一期(叠拼),巴南,大山村,南北,3室2厅2卫,121.84㎡,共5层,2018年建造,12148元/㎡,148万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南北,3室2厅2卫,125.99㎡,共2层,2017年建造,13097元/㎡,165万,近地铁,,满二年
阳光100阿尔勒一期(叠拼),巴南,大山村,南北,4室2厅2卫,127㎡,共3层,2015年建造,10945元/㎡,139万,近地铁,,满二年
阳光100阿尔勒一期(叠拼),巴南,大山村,南北,3室2厅2卫,130㎡,共3层,2015年建造,11154元/㎡,145万,近地铁,,满二年
阳光100阿尔勒一期(叠拼),巴南,大山村,南北,4室2厅2卫,130.01㎡,共4层,2017年建造,11153元/㎡,145万,近地铁,,满二年
阳光100阿尔勒一期(叠拼),巴南,大山村,南北,4室2厅2卫,122㎡,共4层,2015年建造,11886元/㎡,145万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南北,3室2厅2卫,144.97㎡,共2层,2017年建造,12486元/㎡,181万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南北,4室2厅2卫,111.75㎡,高层(共32层),2010年建造,9754元/㎡,109万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南北,4室2厅2卫,163㎡,共2层,2018年建造,11688元/㎡,190.5万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南北,4室2厅2卫,167.11㎡,共2层,2017年建造,11969元/㎡,200万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南北,4室2厅2卫,123.97㎡,高层(共32层),2017年建造,9277元/㎡,115万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南北,4室2厅2卫,111.94㎡,中层(共32层),2017年建造,9649元/㎡,108万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南北,3室2厅2卫,163㎡,中层(共6层),2018年建造,12577元/㎡,205万,近地铁,,满二年
阳光100阿尔勒一期(叠拼),巴南,大山村,南北,4室2厅2卫,158.3㎡,共3层,2015年建造,10803元/㎡,171万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,南北,3室2厅2卫,88.58㎡,低层(共32层),2017年建造,10838元/㎡,96万,近地铁,,
中交锦悦御蓝湾,巴南,大山村,南北,3室2厅2卫,163㎡,共2层,2017年建造,14356元/㎡,234万,近地铁,,
阳光100阿尔勒一期(联排),巴南,大山村,南北,5室2厅2卫,172㎡,共4层,2016年建造,10814元/㎡,186万,次新房,,近地铁
合谊理想城(一期),巴南,大山村,南北,4室2厅2卫,143.8㎡,高层(共14层),2022年建造,10362元/㎡,149万,车位充足,,有电梯
浣溪锦云,巴南,大山村,南北,3室2厅2卫,99㎡,低层(共8层),2020年建造,10405元/㎡,103万,车位充足,,满二年
碧桂园金地溪山玥,巴南,大山村,南北,3室2厅2卫,94.68㎡,低层(共33层),2021年建造,12147元/㎡,115万,车位充足,,满二年
浣溪锦云,巴南,大山村,南北,3室0厅0卫,99㎡,中层(共16层),2020年建造,10304元/㎡,102万,车位充足,,满二年
合谊理想城(一期),巴南,大山村,南北,3室2厅2卫,110.96㎡,低层(共7层),2022年建造,12618元/㎡,140万,车位充足,,满二年
浣溪锦云,巴南,大山村,南北,3室0厅0卫,97.88㎡,高层(共17层),2020年建造,12260元/㎡,120万,车位充足,,满二年
阳光100阿尔勒二期,巴南,大山村,南北,3室2厅2卫,95.63㎡,中层(共6层),2018年建造,10855元/㎡,103.8万,车位充足,,近地铁
阳光100阿尔勒二期,巴南,大山村,南北,4室2厅2卫,124.49㎡,共2层,2018年建造,10443元/㎡,130万,车位充足,,近地铁
阳光100阿尔勒二期,巴南,大山村,南北,4室2厅2卫,137.53㎡,共2层,2019年建造,11707元/㎡,161万,车位充足,,近地铁
阳光100阿尔勒二期,巴南,大山村,南北,4室2厅2卫,137.31㎡,共2层,2019年建造,11726元/㎡,161万,车位充足,,近地铁
碧桂园金地溪山玥,巴南,大山村,南北,3室2厅2卫,94.63㎡,低层(共33层),2020年建造,10040元/㎡,95万,车位充足,,
中交锦悦御蓝湾,巴南,大山村,南北,3室2厅2卫,139㎡,共2层,2017年建造,13310元/㎡,185万,,,近地铁
中交锦悦御蓝湾,巴南,大山村,南北,3室2厅2卫,145㎡,共2层,2017年建造,12552元/㎡,182万,,,近地铁
中交锦悦御蓝湾,巴南,大山村,南北,3室2厅2卫,150㎡,共2层,2017年建造,13267元/㎡,199万,,,近地铁
中交锦悦御蓝湾,巴南,大山村,南北,4室2厅2卫,144.81㎡,共2层,2017年建造,12555元/㎡,181.8万,,,近地铁
中交锦悦御蓝湾,巴南,大山村,南北,3室2厅2卫,112.09㎡,中层(共32层),2017年建造,9100元/㎡,102万,,,近地铁
中交锦悦御蓝湾,巴南,大山村,南北,3室2厅2卫,88.45㎡,中层(共32层),2017年建造,9893元/㎡,87.5万,,,近地铁
中交锦悦御蓝湾,巴南,大山村,西,4室2厅2卫,124.14㎡,高层(共32层),2017年建造,10070元/㎡,125万,近地铁,,
合谊理想城(一期),巴南,大山村,西,4室2厅2卫,136.63㎡,低层(共17层),2022年建造,10979元/㎡,150万,车位充足,,
中交锦悦御蓝湾,巴南,大山村,西北,4室2厅2卫,144㎡,共2层,2017年建造,12674元/㎡,182.5万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,西北,4室2厅2卫,111.94㎡,高层(共32层),2017年建造,13401元/㎡,150万,近地铁,,
远洋高尔夫国际社区原香,巴南,大山村,西南,4室2厅2卫,143.1㎡,共1层,2019年建造,16772元/㎡,240万,近地铁,绿化率高,满二年
中交锦悦御蓝湾,巴南,大山村,西南,4室2厅2卫,123.97㎡,中层(共32层),2017年建造,8470元/㎡,105万,近地铁,,满二年
合谊理想城(一期),巴南,大山村,西南,4室2厅2卫,139.22㎡,中层(共16层),2022年建造,10416元/㎡,145万,车位充足,,有电梯
合谊理想城(一期),巴南,大山村,西南,3室2厅2卫,148.49㎡,低层(共12层),2021年建造,13469元/㎡,200万,车位充足,,满二年
珠江城爱丽舍庄园,巴南,花溪,北,4室2厅2卫,130.03㎡,低层(共7层),2018年建造,14920元/㎡,194万,满二年,车位充足,
保利林语溪,巴南,花溪,北,2室2厅2卫,69.02㎡,低层(共17层),2015年建造,11302元/㎡,78万,近地铁,车位充足,
奥园金樾山,巴南,花溪,北,3室2厅2卫,98㎡,中层(共26层),2018年建造,10511元/㎡,103万,近地铁,,满二年
宗申青年国际,巴南,花溪,北,3室2厅2卫,93.15㎡,低层(共18层),2014年建造,11058元/㎡,103万,近地铁,,满二年
东原桐麓,巴南,花溪,北,3室2厅2卫,85㎡,中层(共11层),2016年建造,13295元/㎡,113万,近地铁,,
远洋高尔夫国际社区翡丽岛,巴南,花溪,北,4室2厅2卫,135㎡,共2层,2016年建造,12593元/㎡,170万,近地铁,,
中建瑜和城二期(建林路467号),巴南,花溪,北,3室2厅2卫,93㎡,低层(共33层),2016年建造,10216元/㎡,95万,,,
奥园玺樾九里,巴南,花溪,东,3室2厅2卫,100㎡,低层(共18层),2020年建造,10800元/㎡,108万,有电梯,近地铁,
芸峰兰亭(二期),巴南,花溪,东,3室2厅2卫,89.84㎡,中层(共11层),2019年建造,10018元/㎡,90万,满二年,车位充足,
